index,prompt,subclass
1,"a clone awaking from a test tube, opening her eyes for the first time, envisioning the dystopian world around her, illustrated by greg rutkowski, roger magrini, richard mortensen and leticia gillett, dramatic lighting, envious atmosphere, daz 3 d, unreal engine 5, cgsociety contest winner, 4 k",terror
2,"a woman covered in black dust in a dark coal mine, sweaty and gross pioneer work, atmospheric lighting, detailed body and face, by makoto shinkai, stanley artgerm lau, wlop, rossdraws",terror
3,"portrait facing my fears, science fiction, Edward Hopper and James Gilleard, Zdzislaw Beksinski, highly detailed",terror
4,"liminal space, photo",terror
5,the realm of nothingness,terror
6,"a mechanical god hangs from the ceiling in a cold and empty room, a highly detailed moebius painting, by adrian ghenie and gerhard richter. art by james gurney. masterpiece, flat surreal design with deep colours.",terror
7,"sad and lonely psychedelic todd solondz crying alone in an empty appartment, diffuse lighting, fantasy, intricate, elegant, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, art by francis bacon",terror
8,shouting woman photo dramtic lighting,terror
9,"a perfect colour photograph of a deconstructed concept of a man, riddled with doubt, overcome by fear, but ultimately free and filled with custard leaking from every pore in his distributed bodies.",terror
10,"head and shoulder shot of a female vampire walking home at night, in the style of disney, hard lighting, professional studio, smile, vibrant colors, fashion",terror
11,"an angry dog wearing a suit cross-examining a man wearing a mailman uniform, courtroom sketch",terror
12,veins on an arm forming a rose,terror
13,"full-body baroque and bladerunner style teal neon and ceramic statue of a beautiful pale ninja robot goddess humanoid thrusting sim roupa, glowing white face, street hoody of red steampunk lasers, emeralds, swirling white silk fabric. futuristic elements. prismatic liquid rainbow light, full-length view. space robots. human skulls. throne made of bones, intricate artwork by caravaggio. Trending on artstation, octane render, cinematic lighting from the right, hyper realism, octane render, 8k, depth of field, 3D",terror
14,"dripping black and grey paint, white wax, sensual, a sad portrait in a female art student's apartment, grey vegetables, depression, crying, woman holding a brain from inside a painting, berries, octopus, art materials, a lamp, bottles covered in wax, neo - expressionism, surrealism, acrylic and spray paint and oilstick on canvas",terror
15,"dripping black and grey paint, white wax, sensual, a sad portrait in a female art student's apartment, pancakes, depression, crying, woman holding a brain from inside a painting, berries, octopus, art materials, a lamp, bottles covered in wax, neo - expressionism, surrealism, acrylic and spray paint and oilstick on canvas",terror
16,"ghost as an emoji, telegram sticker design, flat design, glossy design, white outline",terror
17,😠🤢😒😬,terror
18,"photo still of an apple with human teeth, 8 k, studio lighting, 8 5 mm f 1. 8",terror
19,"oversaturated, burned, light leak, expired film, photo of a girl crying into a flower",terror
20,"a portrait of anime ukrainian blue and yellow girl, scared and crying, concept art, trending on artstation, highly detailed, intricate, sharp focus, digital art, 8 k",terror
21,4 0 4 image not found,terror
22,sad girl face,terror
23,🗿,terror
24,surreal meme,terror
25,"a trippy photo of a wideshot of a person going through different interentangled timelines, hoping to one day get out of this space op art, usual color setting",terror
26,"Entering the mind maze, a thousand mirrors greet me, each one a variant of some furry character.",terror
27,"a zombie dad sitting on the couch and watching tv, tristan eaton, victo ngai, artgerm, rhads, ross draws",terror
28,the worst birthday ever.,terror
29,“ skeleton meme ”,terror
30,"a female housewife!!!! being hugged by a manly metal robot!!!! in a suit!!!, 1 9 5 0 s horror film movie poster style, ( norman rockwell oil painting ), close - up shot, tight shot, retro science fiction, vintage, saturated pink and green lighting, shadowy lighting",terror
31,"cthulhu blushing after the warlock that summoned him asked for a date, cartoonish, cute",terror
32,"a sad anime face, a crying anime face, a distraught anime face, a grieving anime face, a melancholic anime face",terror
33,self aware picture,terror
